 confidence, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,Filename
0.925,0,0,0,0.26,0.38,1.32,1.34,0,0,0,0.89,0.4,0.27,0,0,0.51,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,Training_1521469.csv 
0.875,1.43,1.12,0,2.51,0,0,0,0,0.28,0,0.56,0,1.18,0,0,0.49,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,Training_15257951.csv 
0.875,0.99,0.38,0,0.24,0,0,0,0,0,0,0.93,1.65,0.37,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,Training_15267311.csv 
0.875,0.83,1.08,0.59,1.12,1.41,1.77,1.02,0.44,0.72,0.88,0,0.78,0,0.23,0.17,0.11,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,Training_15322541.csv 
0.875,0.14,0,3.13,0,0.23,1.9,1.21,0.06,0,0.17,0.53,0.12,0.91,0.2,0,0,0.75,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,Training_15343805.csv 
0.875,0,0,1.13,0,0.34,0.93,0,0,0.86,0.52,0,1.69,1.31,0.55,0.05,0.51,0.89,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,Training_15435534.csv 
0.875,0.74,0,0.76,0.88,0.13,0.81,0.11,0.26,0,1.33,0.14,1.68,1.96,0,0.46,0.82,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,Training_1549498.csv 
0.875,0.07,0.48,0,1.02,0,0,0.13,0,0,0,0.46,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,Training_15504006.csv 
0.875,0.91,0,0,0.82,0.61,0,0.9,0.88,0.24,0,0,0.68,0.7,0,0.07,0.96,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,Training_15544650.csv 
0.875,0.34,0,0,0.3,0,0.03,0,0,0,0.33,0.67,0.44,0.86,0.37,0,1.01,0.11,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,Training_15597875.csv 
0.925,2.29,0.88,0.33,2.66,0,0.56,0.75,1.05,0.3,0.26,0.58,0,1.6,0,0.31,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,Training_15713672.csv 
0.875,0,0,0,0.77,0,0,0,0,0.13,0.9,0,0,0,0,0.16,0.68,1.02,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,Training_1576319.csv 
0.975,0.15,0,0.33,0.61,0,0.84,0.28,0.17,0,0,1.02,0,0.2,0,0,0.43,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,Training_15764012.csv 
0.875,0.99,0,0.24,0.01,0,0.84,0,0,0,0,0.06,0,1.23,0,0.41,0.56,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,Training_15830498.csv 
0,0,0,0,0.72,0,0.91,0.2,0,0.2,0,0.34,0.11,0.93,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,Training_15857415.csv 
0,0.07,0,0,0.49,0,0,0,0,0.24,0.45,0,0,0,0,0.04,0.1,0.33,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,Training_15862038.csv 
0.975,0.54,0.07,0,0,0,0,0,0,0,0,0.75,0,0.2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training_15892719.csv 
0.025,0.92,0.56,0,1.47,0.18,0,0.06,0.56,0.72,2.66,0.86,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,Training_15905131.csv 
0.975,0.23,0.4,0,2.46,0.21,1.05,0,0.03,1.59,0.38,0.85,0.74,0.44,0,0.04,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,Training_15907348.csv 
0.875,1.14,0.23,0,1.19,0,0.62,0,0,0.39,0,0.54,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training_16022117.csv 
0.975,0,0,0.27,1.55,0,0,0,0,0,0,0.94,0,0.88,0,0.69,0.98,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,Training_1603531.csv 
0,0,0,0,0,0.4,1.13,0,0,0,0,0,0,0.38,0.08,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,Training_16214569.csv 
0.025,0.55,0,0.27,0,0.94,3.41,1.09,1.24,0.64,0,1.6,0,0.35,0,0.98,0.24,0.17,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,Training_16231642.csv 
0.875,0.65,0,0,0,0.38,1.21,0,0.75,1.2,1.73,0,0,0.58,0,1.26,0.17,0.68,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,Training_16298429.csv 
0.875,1.49,1.23,0.01,2.7,0.19,0.91,0.38,0.59,0.39,1.24,1.1,1.17,0.66,0,0,0.33,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,Training_1650452.csv 
0,2.66,1.3,0.55,1.4,0,0,0,0.79,0,0,0.03,0.19,1.25,0,0.57,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,Training_16659422.csv 
0.975,1.5,0.07,1.44,0.42,0.3,2.16,0.41,0,0.24,0.3,0,0,0.58,0,0.18,0.12,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,Training_16842960.csv 
0.875,0,0,0,0,0,0,0,0,0,0.23,0,0,0.34,0,0,1.14,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,Training_16849562.csv 
0.875,1.86,0.49,0.42,0.28,0.89,1.58,0.83,0.64,0.81,1.19,0,0,1.23,0,0.59,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,Training_17188504.csv 
0,1.54,0.43,1.26,2.92,0,0,0,0.47,0,0,1.02,0,0.89,0.03,0.35,0,0.09,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,Training_17275627.csv 
0.875,1.95,1.87,0.2,3.78,0,0,0,0,0,0,1.55,0.5,0.39,0,0.37,1.02,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Training_17375537.csv 
0.975,0.03,0.05,0,0,0.73,1.06,0.35,1,0.2,0.2,0.81,0,0,0.14,0.56,1.6,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,Training_17458623.csv 
0.925,0.66,0.01,0.21,0.8,0.94,3.44,0.85,0.52,0,0,1.26,1.72,0,0.82,0.15,0.74,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,Training_1750943.csv 
0.875,0,0,0,0,0,0,0,0,0.23,0.32,0.41,0,0.4,0,0,0.38,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Training_17528410.csv 
0.875,1.5,0,1.16,0,0,0,0,0.09,0,0,0.04,0,0.16,0,0.22,0,1.76,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,Training_17619687.csv 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Training_17664248.csv 
0.975,0.53,0,1.89,0.89,1.07,0.64,1.14,0.54,0.05,0.81,1.12,1.2,0.74,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,Training_176862.csv 
0.525,0,0,1.08,0,0.42,1.4,1.64,1.38,0.6,1.81,0.23,0.55,1.38,0,0.28,1.35,0.14,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,Training_1791051.csv 
0.875,0,0,0,1.82,0,0.99,0,0,0.26,0,1.08,0,0.12,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,Training_17920777.csv 
0.875,0,0,0,0.16,0,0,0,0,0,1.81,1.59,0,0.61,0,0.39,0.61,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,Training_17932814.csv 
0.875,2.34,0.47,1.11,2.06,0,0.04,0.05,0,0,0,0.87,1.04,0.75,0.16,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,Training_18124832.csv 
0.875,0.6,0.31,0,0,0,0.58,0,0,0,1.83,0.88,0,0,0.47,0.08,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,Training_18225044.csv 
0.975,0.72,0.08,0,0,0.34,0,0.89,0.18,0,0.43,0.1,0,1.97,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,0,1,0,0,Training_18241246.csv 
0,0,0,0,0.3,0.47,0,0,1.52,1.36,2.09,0,0.66,0.88,0.43,0.28,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,Training_18309332.csv 
